Name,Market,Total Funding (USD),Status,Country Code,City,Funding Rounds,Founded At,Founded Quarter,First Funding At,Last Funding At,Seed,Venture,Angel,Grant,Round A,Round B,Round C,Round D,Round E,Startup Age,Funding Duration Days,Funding Velocity,Rounds per Year,Continent,Market Group,Total Debt (USD),Total Equity (USD)
wise.io, Machine Learning ,2614554.0,operating,USA,Berkeley,3.0,2012-05-21,2012-Q2,2012-11-01,2014-03-17,28000.0,2586554.0,0.0,0.0,2586554.0,0.0,0.0,0.0,0.0,13,501,5218.670658682635,0.21428571428571427,North America,AI & Automation,0.0,0.0
Wisembly, Meeting Software ,1929900.0,operating,FRA,Paris,1.0,2010-06-01,2010-Q2,2014-02-04,2014-02-04,0.0,1929900.0,0.0,0.0,1929900.0,0.0,0.0,0.0,0.0,15,0,inf,0.0625,Europe,Software & IT,0.0,0.0
WISErg, Clean Technology ,7900001.0,operating,USA,Issaquah,3.0,2011-01-01,2011-Q1,2012-05-18,2014-11-04,2000001.0,5900000.0,0.0,0.0,0.0,5900000.0,0.0,0.0,0.0,14,900,8777.778888888888,0.2,North America,High Tech,0.0,0.0
WISETIVI, Hardware + Software ,620000.0,closed,,,2.0,2011-04-10,2011-Q2,2011-04-10,2012-12-05,200000.0,0.0,420000.0,0.0,0.0,0.0,0.0,0.0,0.0,14,605,1024.793388429752,0.13333333333333333,Other,Software & IT,0.0,0.0
Wish Upon A Hero, Software ,2000000.0,operating,USA,Moorestown,1.0,2007-05-21,2007-Q2,2013-03-21,2013-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,inf,0.05263157894736842,North America,Software & IT,0.0,0.0
Wit.ai, Software ,3000000.0,operating,USA,Palo Alto,1.0,2013-10-31,2013-Q4,2014-10-15,2014-10-15,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,inf,0.07692307692307693,North America,Software & IT,0.0,0.0
Witch City Products, Medical ,2000000.0,operating,USA,Norfolk,1.0,2013-01-01,2013-Q1,2013-12-11,2013-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,inf,0.07692307692307693,North America,Health & Biotech,0.0,0.0
Withings, Hardware + Software ,33845400.0,operating,FRA,Issy-les-moulineaux,2.0,2008-06-01,2008-Q2,2010-09-02,2013-07-17,0.0,33845400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1049,32264.442326024786,0.1111111111111111,Europe,Software & IT,0.0,0.0
WiTricity, Clean Technology ,29000000.0,operating,USA,Watertown,2.0,2007-01-01,2007-Q1,2008-05-19,2013-10-22,0.0,29000000.0,0.0,0.0,0.0,4000000.0,0.0,0.0,25000000.0,18,1982,14631.685166498486,0.10526315789473684,North America,High Tech,0.0,0.0
WittyParrot, Software ,1000000.0,operating,USA,Cupertino,1.0,2012-09-01,2012-Q3,2014-04-04,2014-04-04,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,inf,0.07142857142857142,North America,Software & IT,0.0,0.0
